ds,yhat,yhat_lower,yhat_upper
2021-02-17,1767.0043849529243,1699.6442695550732,1829.1032450066707
2021-02-18,1765.7217268406364,1706.1607267304266,1832.213557748897
2021-02-19,1762.9883140845598,1700.3587482190974,1825.395354287393
2021-02-22,1759.572886395477,1697.7087425804095,1822.0298389159693
2021-02-23,1761.5771277118733,1698.471066874044,1822.3845558330333
2021-02-24,1762.6346408165293,1700.797313627941,1827.750461719625
2021-02-25,1762.9051066072182,1696.10412202357,1827.1641916298122
2021-02-26,1760.5729524222083,1701.99085264326,1825.1362098827733
2021-03-01,1757.279914073817,1692.6735705259484,1821.2885066083002
2021-03-02,1759.0907538715624,1694.1764682626556,1829.4816885130538
2021-03-03,1760.5194316722964,1698.0873353636073,1825.718511488738
2021-03-04,1762.5102402753362,1699.6750323378544,1828.9098156546866
2021-03-05,1763.1141841165247,1702.1134725150832,1830.7465205100846
2021-03-08,1759.5529043478632,1697.808373175914,1818.6416618189883
2021-03-09,1761.0611711053398,1697.7764170962998,1823.9894825549939
2021-03-10,1761.524185434547,1697.2180258366704,1827.5307388668039
2021-03-11,1762.6096424085017,1700.1316616250754,1825.9217550830956
2021-03-12,1761.2043361409585,1696.6076606732638,1824.6002798111895
2021-03-15,1757.594617513215,1692.9570651461518,1819.6790367447732
2021-03-16,1759.364418922705,1695.3134456460089,1821.457868658673
2021-03-17,1759.50609181574,1699.6780140629182,1825.8376455350467
2021-03-18,1756.8037418383058,1696.1326481299332,1818.6471168960713
2021-03-19,1756.9626850822901,1693.3991834352244,1819.2909049654515
2021-03-22,1755.708427959522,1691.8112433949668,1821.8704897204948
2021-03-23,1756.449667365873,1693.160749436989,1817.7950788558285
2021-03-24,1760.1508806680072,1696.6988597519476,1825.8693089997748
2021-03-25,1760.0904237389118,1697.734003955275,1823.046066450055
2021-03-26,1762.3773411297873,1702.3802359569324,1827.4700515607628
2021-03-29,1766.4000658666637,1701.5547013725643,1829.103626541549
2021-03-30,1770.6773724747206,1708.0570606644333,1837.6737845474631
